Q/L/F,Performance(Q),Performance(L),Performance(F)
24,84.674168%,97.404103%,101.145001%
48,175.746598%,172.353033%,212.717984%
72,246.722877%,230.759263%,289.601064%
96,338.510881%,311.439272%,348.397578%
120,302.000978%,337.983541%,387.278921%
144,402.739445%,391.745440%,471.355114%
168,461.079653%,412.706897%,482.433976%
192,530.445124%,473.556921%,508.605982%
216,484.161286%,542.160834%,595.696776%
240,524.021378%,587.164380%,647.199760%
264,592.553495%,615.191780%,654.594640%
288,649.005229%,636.159161%,716.583283%
312,621.715197%,669.757941%,714.976741%
336,642.277600%,725.955968%,741.637438%
360,683.620571%,727.844659%,750.438794%
384,714.750527%,704.690445%,745.034882%
408,693.062376%,771.162333%,829.312902%
432,728.108143%,764.465145%,835.228341%
456,763.866827%,839.081521%,875.478032%
480,807.871355%,816.939528%,845.859373%
504,757.757198%,859.951175%,875.122554%
528,756.815259%,883.290343%,865.150364%
552,810.467739%,858.487629%,915.930490%
576,830.858327%,848.831530%,958.230922%
600,789.887486%,909.569623%,940.026637%
624,815.751567%,928.856108%,963.121463%
648,834.237386%,966.907823%,976.302500%
672,864.470031%,936.500985%,978.655205%
696,860.163352%,993.810715%,998.210598%
720,853.768123%,983.164010%,997.401923%
744,891.487772%,995.668025%,996.224485%
768,941.994588%,953.917611%,1051.993436%
792,877.805201%,1044.256735%,1017.418893%
816,923.649653%,1008.948248%,1041.177645%
840,924.780419%,1014.036966%,1049.645463%
864,930.920747%,1007.331462%,1045.453826%
888,899.475160%,1070.692061%,1055.209729%
912,967.261721%,1004.701469%,1063.327857%
936,916.640008%,1068.350827%,1071.375995%
960,943.801726%,1041.570094%,1078.941736%
984,907.508060%,1054.813194%,1083.308265%
1008,973.166714%,1060.331937%,1077.391257%
1032,986.802517%,1054.790795%,1108.057198%
1056,953.838410%,1076.786823%,1096.294830%
1080,954.728028%,1091.344763%,1109.089334%
1104,961.321654%,1095.965949%,1110.343270%
1128,997.174073%,1084.575972%,1118.127502%
1152,998.871277%,1091.673726%,1154.717533%
