Q/F,24,48,72,96,120,144,168,192,216,240,264,288,312,336,360,384,408,432,456,480,504,528,552,576,600,624,648,672,696,720,744,768,792,816,840,864,888,912,936,960,984,1008,1032,1056,1080,1104,1128,1152,1176,1200,1224,1248,1272,1296,1320,1344,1368,1392,1416,1440,1464,1488,1512,1536,1560,1584,1608,1632,1656,1680,1704,1728,1752,1776,1800,1824,1848,1872,1896,1920
24,1.546426%,3.504033%,5.501108%,7.434985%,9.123513%,11.254266%,12.901801%,14.953417%,17.093689%,18.037643%,19.790151%,21.537340%,24.302111%,26.089314%,27.521752%,29.279172%,31.487935%,31.094569%,30.020460%,35.754086%,38.525046%,38.991024%,41.029667%,40.338562%,44.405307%,44.102812%,48.660122%,50.805111%,48.449832%,49.657206%,54.862136%,51.043043%,56.434939%,53.116760%,56.949092%,59.817549%,59.883924%,63.306372%,59.677583%,65.951264%,65.840042%,68.606432%,70.033502%,80.387091%,70.190047%,73.563333%,64.686984%,71.419784%,72.881610%,79.547367%,73.839402%,83.365080%,83.313206%,78.864422%,81.268590%,89.118112%,86.704979%,87.879221%,94.349975%,90.316062%,83.691554%,92.237599%,85.514203%,96.270479%,96.140467%,94.108866%,104.347667%,99.096868%,102.731719%,97.686887%,103.445381%,96.155669%,103.177886%,108.302640%,103.201023%,107.237887%,102.047913%,104.838159%,103.957966%,115.767914%
48,3.584047%,7.209364%,10.955556%,14.676252%,18.317836%,21.819602%,24.375577%,29.668439%,31.134522%,37.228083%,40.323235%,43.152987%,47.100088%,51.773079%,54.033454%,62.385452%,58.973186%,64.346645%,68.584441%,71.403087%,76.940049%,72.313869%,79.102484%,89.547997%,69.991219%,86.719455%,89.647722%,93.202520%,98.997336%,96.306123%,96.790226%,108.380695%,112.525412%,105.086611%,114.761325%,117.316587%,113.437126%,115.102977%,118.380158%,127.185351%,133.227345%,126.422292%,125.884362%,136.067406%,129.602511%,131.551167%,132.893069%,156.067492%,129.357595%,149.540062%,157.660294%,170.240157%,153.488865%,165.155206%,148.726307%,159.254163%,168.142562%,157.945405%,166.052305%,171.695488%,165.537346%,174.956953%,177.242293%,165.258260%,176.628482%,175.169239%,177.298987%,196.228379%,181.269471%,184.044197%,194.160290%,195.461207%,190.253673%,196.378969%,198.007974%,173.573774%,200.080609%,205.156306%,190.097595%,212.665615%
72,5.244618%,10.671694%,17.207010%,21.343499%,26.347975%,32.072962%,38.652646%,46.027644%,46.189109%,52.787405%,57.170184%,63.265672%,66.855762%,73.358650%,73.841263%,85.924412%,89.961241%,86.221226%,99.733840%,105.416372%,111.274014%,108.123905%,113.395047%,120.373359%,128.335812%,127.759632%,129.019948%,133.651136%,130.952515%,146.339682%,139.737171%,150.706744%,149.019823%,152.490631%,157.878508%,159.952946%,162.100800%,159.067094%,177.731537%,184.213340%,179.090641%,178.196654%,184.797896%,195.734904%,172.034946%,189.885715%,202.911342%,206.137316%,214.758053%,222.136736%,212.240054%,215.714315%,231.644433%,224.322926%,217.209741%,232.880804%,241.862255%,252.025172%,230.362615%,185.422522%,247.271409%,221.283306%,235.484789%,229.637263%,224.986817%,239.683940%,246.780912%,256.912101%,258.995126%,262.531193%,248.149317%,243.904250%,262.875988%,280.860128%,272.630350%,274.545251%,274.770428%,256.211868%,279.813356%,283.308478%
96,6.995491%,15.272565%,21.920649%,28.993971%,36.917819%,42.030182%,50.180090%,59.152463%,65.410219%,71.028327%,72.371753%,76.616281%,90.105559%,99.153776%,109.562008%,109.553318%,116.161557%,119.216670%,123.179976%,124.062564%,141.850942%,137.065257%,140.462623%,151.176530%,162.967364%,138.685808%,154.894083%,170.559052%,164.330801%,172.235042%,183.171133%,194.563045%,185.913362%,205.268697%,215.285856%,210.259845%,210.548447%,204.398733%,216.540571%,211.634926%,228.511195%,240.080272%,237.394761%,245.642650%,236.809749%,249.614371%,230.654118%,266.732028%,258.655063%,242.719118%,284.432309%,256.833990%,267.004708%,275.913917%,278.006191%,285.796995%,282.239164%,291.056881%,272.846437%,278.377070%,288.534980%,282.307324%,276.488196%,314.912275%,293.751384%,327.038212%,310.703530%,332.917908%,304.157107%,304.219088%,303.903080%,329.609436%,293.734198%,349.350696%,368.604319%,338.420640%,311.646015%,343.007326%,347.984561%,350.391064%
120,8.522973%,18.134454%,27.389981%,34.539751%,44.335658%,52.460928%,55.558943%,68.993358%,75.643122%,85.833168%,89.974136%,100.165149%,73.799538%,105.502166%,121.560854%,131.486164%,133.093298%,147.561615%,156.306655%,154.440465%,164.619471%,166.789979%,184.798677%,182.933274%,194.346442%,203.377919%,211.717679%,203.492320%,223.857195%,214.342928%,219.686222%,241.643839%,221.150771%,240.976197%,246.737135%,237.493128%,244.982729%,274.209173%,258.872713%,274.360674%,273.677568%,260.694571%,293.894507%,293.932936%,307.220891%,279.664811%,303.853858%,310.150174%,313.511825%,315.934710%,298.900529%,323.353104%,316.586614%,337.498077%,332.574857%,314.972740%,363.363051%,342.907951%,347.957901%,346.677039%,330.542126%,366.970073%,357.734746%,405.272032%,350.666333%,392.784993%,343.188944%,372.685967%,381.130063%,379.089973%,394.023457%,361.753776%,386.048968%,379.759904%,394.130871%,394.217761%,420.416684%,428.160808%,429.617492%,371.568030%
144,10.803036%,21.478612%,31.890634%,42.808519%,51.408404%,64.649375%,71.432724%,79.712237%,97.467655%,107.653616%,114.310521%,114.378323%,129.524123%,139.257550%,153.477133%,163.289442%,155.269990%,172.001269%,161.022946%,180.745221%,192.720887%,195.123735%,219.933668%,203.540312%,187.013215%,222.764635%,229.447792%,245.166347%,239.018363%,233.555431%,257.879214%,266.686682%,273.345473%,274.149887%,274.690626%,275.016682%,288.903433%,299.056354%,293.553644%,306.635535%,208.604056%,282.421647%,286.380059%,322.830884%,293.727170%,319.238171%,337.892501%,319.734133%,331.912219%,351.848925%,346.126061%,340.574318%,380.668255%,391.042998%,400.583236%,361.308913%,438.966793%,402.769887%,403.217769%,367.425658%,337.058199%,402.992370%,385.000313%,416.431354%,393.285573%,414.280956%,418.472449%,441.730713%,410.110227%,445.271629%,410.356752%,419.738764%,435.302034%,439.344691%,421.131132%,454.275321%,454.016434%,456.894867%,464.690756%,448.115666%
168,11.558823%,25.144995%,38.976504%,52.319959%,61.048245%,74.532052%,84.131596%,100.907944%,107.798419%,118.975167%,121.476988%,106.135332%,141.285066%,138.077294%,159.569811%,181.504253%,186.943015%,189.762757%,201.747096%,219.050040%,236.202507%,238.374838%,221.008873%,253.950134%,251.045204%,265.561301%,262.203281%,270.699367%,271.938427%,277.496748%,286.839547%,325.225938%,285.609067%,312.356641%,329.649826%,327.213383%,321.795084%,342.121614%,348.785446%,347.332398%,333.343037%,348.526466%,358.486426%,378.748098%,354.309173%,398.267597%,398.810696%,394.984477%,386.030741%,383.988480%,408.316415%,418.735803%,421.547091%,400.576640%,432.047150%,429.454224%,410.331398%,460.214870%,416.667542%,426.453863%,422.917852%,447.186169%,442.904547%,461.843891%,457.117292%,463.953073%,477.382318%,497.944573%,503.106576%,462.040815%,465.644483%,486.083885%,509.941440%,505.556593%,506.240112%,529.940271%,550.619469%,524.971080%,495.546165%,541.568853%
192,14.544396%,29.188030%,44.332176%,60.707713%,72.429940%,82.161097%,87.642112%,108.545004%,114.447981%,139.589649%,133.145192%,146.584701%,165.799667%,176.017656%,189.059533%,195.427132%,210.144151%,213.734085%,225.336453%,222.493620%,242.602015%,263.912630%,264.450190%,274.077582%,267.051480%,311.860211%,297.034277%,246.888634%,295.937413%,338.410470%,329.001099%,324.206399%,296.512629%,348.425820%,342.305644%,344.901978%,387.251407%,366.059904%,356.418148%,384.319916%,387.686121%,401.862395%,379.337948%,427.695065%,432.700434%,435.523595%,431.451166%,448.767594%,439.395017%,437.856016%,457.658310%,459.901092%,502.133007%,445.510632%,460.373161%,480.410507%,484.064055%,466.720103%,480.467935%,489.404468%,511.416796%,490.111325%,511.081608%,521.556954%,497.433180%,502.729964%,516.754592%,532.227753%,516.473924%,528.982706%,543.484802%,563.919961%,548.182719%,542.200022%,533.963398%,511.849869%,538.811561%,571.729892%,545.949354%,569.966647%
216,15.561066%,34.550455%,47.158006%,66.714726%,80.310693%,87.228581%,105.492780%,121.458530%,131.141113%,149.042930%,159.417031%,163.335636%,185.321210%,201.593700%,200.498442%,231.810543%,224.980076%,237.982725%,239.783529%,227.963827%,264.898874%,272.803599%,281.089253%,309.729602%,302.723858%,288.950550%,319.845068%,321.735285%,333.629045%,350.508729%,351.119226%,397.690817%,368.542764%,360.583850%,393.314051%,418.065921%,401.609617%,392.814199%,413.024218%,390.254919%,447.049591%,425.404490%,426.195716%,419.712383%,450.938477%,476.663750%,438.447126%,479.821247%,448.654139%,493.293577%,503.211522%,508.638062%,474.637012%,493.342484%,466.580938%,535.441131%,526.866608%,501.433866%,524.886237%,522.438449%,519.561881%,539.453817%,534.293974%,546.787453%,520.428420%,573.482506%,561.675528%,549.214198%,566.053053%,559.010409%,542.677710%,566.987426%,574.118059%,607.748169%,539.894552%,580.002942%,608.637529%,591.541716%,612.221490%,602.473370%
