Q/F,24,48,72,96,120,144,168,192,216,240,264,288,312,336,360,384,408,432,456,480,504,528,552,576,600,624,648,672,696,720,744,768,792,816,840,864,888,912,936,960,984,1008,1032,1056,1080,1104,1128,1152,1176,1200,1224,1248,1272,1296,1320,1344,1368,1392,1416,1440,1464,1488,1512,1536,1560,1584,1608,1632,1656,1680,1704,1728,1752,1776,1800,1824,1848,1872,1896,1920
24,1.751178%,3.402351%,5.243129%,7.362073%,9.608714%,11.526837%,12.646362%,14.515009%,17.204751%,17.686714%,19.774818%,21.449930%,24.229716%,24.627225%,29.209499%,28.955352%,32.233416%,33.615366%,35.405230%,35.234813%,37.944642%,38.984749%,34.727424%,34.882483%,44.920661%,45.616093%,47.375347%,49.675236%,48.406815%,44.526708%,50.666962%,45.663704%,56.231124%,56.113086%,58.329662%,59.577026%,58.202792%,60.390602%,64.105164%,68.055317%,72.987388%,74.330673%,73.882542%,71.714086%,77.470117%,71.049543%,77.088137%,81.493067%,77.934221%,80.674684%,77.541318%,85.229574%,83.595742%,84.915396%,88.754832%,82.242469%,84.460859%,84.075344%,92.886625%,94.117647%,90.751741%,83.496010%,93.082402%,82.089926%,86.513578%,95.767609%,93.596057%,89.711920%,106.460090%,95.860361%,96.484205%,102.501172%,97.333840%,101.299531%,109.336761%,101.162841%,108.635239%,104.619407%,108.387083%,112.347583%
48,3.660730%,6.682663%,11.457193%,14.856989%,18.146151%,19.180759%,22.986442%,29.839239%,31.844867%,38.917875%,38.638505%,41.276568%,42.982746%,50.243108%,51.513229%,53.860454%,60.070568%,62.249555%,62.931272%,59.338641%,73.129508%,71.446014%,83.420751%,83.107139%,79.717253%,94.726824%,90.920252%,95.446072%,93.230755%,98.877808%,114.874299%,98.154462%,110.122956%,112.020592%,116.190859%,118.680427%,129.232879%,120.709391%,130.269345%,117.435850%,134.301454%,140.451255%,122.229003%,133.053448%,134.567911%,136.649188%,140.206818%,139.137393%,146.737120%,158.700311%,152.403557%,165.806895%,152.052578%,166.348035%,157.928460%,175.365702%,163.728703%,161.940273%,148.184848%,157.011333%,171.810348%,162.305048%,175.618281%,176.418887%,185.712818%,182.964070%,171.198076%,189.138755%,165.591332%,166.154581%,189.129182%,171.034933%,176.682407%,191.921384%,185.453641%,206.803271%,190.206929%,192.774806%,189.501400%,198.405634%
72,5.266153%,10.391081%,16.780955%,21.830094%,28.804087%,32.241870%,38.238805%,44.203956%,47.702577%,52.784049%,57.582823%,50.275832%,64.838116%,73.016651%,80.004028%,80.889202%,84.958931%,95.146162%,103.361626%,103.435040%,106.809126%,121.682205%,116.641537%,113.257284%,117.713597%,117.564805%,137.019838%,135.175216%,132.383950%,137.733073%,154.496077%,150.374161%,151.771158%,150.971614%,128.882848%,167.113780%,164.661388%,177.473628%,181.848262%,184.313365%,187.015486%,188.114905%,197.409243%,196.864759%,184.242127%,199.668989%,197.994874%,215.984181%,206.420188%,203.479284%,207.198355%,204.780835%,217.523240%,212.670834%,216.927891%,220.422158%,238.542242%,236.373735%,231.192324%,239.446384%,244.875771%,200.154619%,238.002089%,245.103938%,247.454876%,232.723711%,265.754925%,268.875720%,243.649874%,242.314336%,245.099314%,258.824704%,270.487987%,265.635778%,255.407643%,285.817819%,275.310040%,258.458671%,282.301704%,275.102938%
96,6.798833%,14.180919%,20.989903%,28.764348%,38.321250%,40.643119%,48.925656%,56.878257%,65.622875%,66.950896%,75.789672%,88.639942%,90.970128%,95.435535%,102.729362%,109.667652%,116.703176%,118.177078%,128.198483%,123.585426%,134.279219%,135.540057%,146.667110%,160.311020%,163.688534%,164.094388%,167.758931%,175.576002%,183.240775%,191.737160%,183.439991%,192.376487%,182.852113%,200.991700%,219.668301%,220.959174%,229.524782%,218.331272%,220.807710%,239.466462%,224.960583%,236.460677%,249.987344%,228.486523%,259.025926%,265.401313%,253.185222%,262.889320%,279.751263%,264.677108%,238.057215%,258.171182%,279.647709%,272.840983%,282.944695%,282.801200%,280.488288%,296.764012%,279.875170%,270.915398%,317.031350%,289.907707%,332.517800%,326.825623%,296.488003%,330.931958%,314.436618%,310.419115%,319.017759%,331.542949%,319.437142%,311.584360%,325.103164%,325.949589%,320.240514%,330.938291%,320.150720%,322.919559%,356.694526%,377.494125%
120,8.994638%,16.913217%,25.784243%,36.524317%,42.194580%,55.017414%,59.969446%,72.206027%,79.025083%,82.879054%,85.653496%,102.879016%,103.473900%,117.906825%,129.244336%,131.112837%,136.667106%,147.848923%,147.623053%,162.503657%,172.841729%,175.828018%,175.119264%,183.146307%,187.327216%,195.331147%,196.729337%,208.194462%,214.787987%,238.752766%,230.676216%,245.013566%,249.104584%,232.115023%,257.890460%,259.805184%,274.709578%,259.140372%,268.225464%,270.824003%,272.322407%,270.509961%,294.103372%,274.414457%,279.894829%,311.769456%,293.021381%,317.242032%,299.654814%,310.729640%,324.346750%,325.811612%,331.915560%,325.863404%,330.221222%,337.754609%,346.238582%,326.161333%,359.863241%,341.737596%,354.094539%,374.958363%,382.212701%,373.130674%,368.931149%,379.062283%,354.625986%,375.614949%,368.137029%,348.683696%,389.316640%,386.656653%,396.584355%,384.184824%,375.585018%,397.578211%,393.201424%,405.271698%,419.120436%,417.602233%
144,10.721129%,19.821689%,25.473435%,42.015859%,43.432527%,60.034427%,70.441790%,88.367965%,91.474702%,106.203807%,105.976714%,118.134977%,130.643365%,140.028033%,151.049694%,165.871371%,154.479625%,160.323182%,145.030780%,191.802703%,190.589299%,204.760599%,217.316819%,211.712106%,236.615049%,225.776573%,226.009145%,240.754036%,259.224414%,224.155858%,256.592738%,261.670202%,287.462641%,261.347590%,296.803128%,289.570897%,313.181484%,297.629514%,320.571103%,308.193925%,309.302123%,335.422183%,326.921744%,309.881413%,321.011707%,342.201235%,348.274535%,338.093790%,347.949368%,326.911105%,331.920600%,353.368892%,370.635839%,359.885583%,396.967453%,408.727399%,401.424401%,382.294505%,397.161877%,394.294509%,398.461513%,399.851785%,418.068128%,409.850322%,409.586557%,375.513258%,405.222787%,440.742645%,408.639533%,454.045106%,420.094203%,414.203152%,431.000176%,432.294418%,439.699412%,449.555926%,463.661908%,480.309334%,456.489783%,439.409020%
168,12.005306%,24.113489%,36.012118%,48.733836%,62.733859%,66.309723%,82.618764%,87.676461%,108.878930%,116.588675%,127.083390%,136.476432%,149.499044%,156.882690%,146.894544%,187.713082%,188.746210%,195.495155%,163.800064%,210.170045%,223.562523%,226.982150%,233.546091%,255.953278%,255.317330%,270.800145%,270.015445%,276.610416%,275.262378%,312.921547%,306.732974%,303.880512%,288.533037%,340.281986%,330.053584%,337.345869%,303.532299%,307.876750%,336.779071%,356.147663%,320.444286%,367.084312%,363.475842%,358.764336%,365.464703%,359.903641%,377.500029%,395.721482%,415.890331%,422.510471%,395.625374%,404.648466%,408.442709%,430.678324%,422.783827%,431.031811%,433.770704%,392.520894%,382.144678%,411.077399%,412.053795%,436.184187%,465.692944%,458.417661%,405.970829%,469.184076%,454.223684%,445.020788%,473.919323%,475.781234%,479.796967%,475.071370%,498.311389%,485.595510%,480.885631%,493.559253%,458.791150%,480.705569%,535.483822%,534.190861%
192,13.072681%,28.382817%,40.726254%,52.797680%,70.737976%,81.274231%,91.414968%,105.821678%,113.782753%,140.010574%,140.672296%,153.962132%,167.403462%,194.035970%,191.244485%,203.755857%,209.976012%,217.974650%,244.394990%,240.899728%,248.252455%,255.755264%,268.034354%,278.397463%,264.007910%,260.081911%,277.584439%,316.032981%,293.888134%,329.211933%,324.927688%,337.267098%,330.387711%,335.516885%,366.285829%,376.246609%,360.361903%,357.730628%,359.762311%,386.202410%,393.803516%,413.418212%,383.753739%,378.300108%,399.051157%,421.608825%,427.598880%,419.858693%,424.589452%,422.812321%,453.787318%,453.195360%,457.048537%,458.936526%,463.373037%,472.035552%,472.349409%,470.381540%,441.480908%,459.297809%,488.678933%,487.671017%,477.356897%,465.543405%,488.956514%,504.352406%,529.510055%,489.185291%,508.199703%,497.824881%,467.905407%,520.578856%,510.476583%,527.479259%,527.026100%,530.913955%,556.295643%,525.090949%,551.192364%,576.655213%
216,15.233603%,32.523959%,45.812759%,51.890918%,72.180715%,86.699203%,95.779745%,126.045995%,129.389876%,143.285290%,151.529178%,174.303550%,186.040156%,189.971750%,193.746228%,232.209541%,223.709017%,232.273241%,258.431549%,241.783045%,285.098948%,276.775647%,289.691309%,306.949041%,285.661267%,317.814881%,323.689095%,329.852910%,353.204711%,333.460509%,356.689891%,359.185635%,370.535495%,375.121511%,403.492532%,400.970876%,423.376038%,381.919127%,418.252464%,393.885009%,440.316683%,454.907860%,456.392802%,425.371545%,432.758831%,440.789437%,440.679392%,460.062941%,437.674839%,450.717157%,495.523571%,504.659965%,470.982705%,470.198602%,482.423080%,504.923556%,535.978326%,510.102425%,486.719752%,519.916694%,535.883416%,512.474207%,541.309810%,527.122906%,521.359971%,521.805671%,548.962407%,564.401921%,544.773709%,535.062614%,547.618483%,484.629054%,610.635437%,590.343587%,563.204770%,561.156728%,553.551221%,596.474167%,576.330721%,642.310907%
