Q/F,24,48,72,96,120,144,168,192,216,240,264,288,312,336,360,384,408,432,456,480,504,528,552,576,600,624,648,672,696,720,744,768,792,816,840,864,888,912,936,960,984,1008,1032,1056,1080,1104,1128,1152,1176,1200,1224,1248,1272,1296,1320,1344,1368,1392,1416,1440,1464,1488,1512,1536,1560,1584,1608,1632,1656,1680,1704,1728,1752,1776,1800,1824,1848,1872,1896,1920
24,1.607729%,3.575461%,5.273436%,6.971345%,9.117155%,11.091174%,11.618257%,14.456564%,16.140746%,16.862527%,19.119297%,19.772952%,21.611501%,23.389854%,26.104661%,28.807101%,29.366201%,32.897954%,31.204241%,33.360681%,36.244550%,35.636604%,38.162047%,40.381424%,40.845198%,39.268166%,41.864353%,45.550492%,45.621231%,46.266105%,44.298157%,49.494901%,48.899831%,52.231965%,53.543710%,53.566991%,56.717148%,53.665309%,58.538587%,56.361362%,56.432788%,62.428994%,63.035351%,56.959609%,55.625324%,61.193311%,64.519271%,73.496669%,68.354272%,67.431091%,69.380442%,65.967284%,68.909008%,68.724405%,77.014169%,68.092329%,74.411299%,74.255501%,65.988005%,80.876194%,72.974662%,64.094289%,77.630555%,77.245429%,72.190811%,80.160549%,78.831801%,79.758361%,78.395635%,80.948525%,80.533850%,76.803093%,84.534533%,79.436347%,78.724741%,75.576090%,86.770302%,82.228392%,83.410607%,83.087827%
48,3.672548%,7.463099%,10.654945%,13.911004%,17.971828%,21.851316%,26.642845%,27.042328%,32.801647%,32.430926%,35.684699%,43.514212%,44.948120%,47.475832%,52.697909%,52.009836%,55.273318%,55.315194%,63.676104%,64.425139%,69.709054%,65.826979%,72.308761%,80.769439%,82.422668%,81.897783%,81.206188%,86.402348%,85.961080%,92.721848%,97.578569%,102.017064%,103.176849%,102.345817%,107.705253%,102.721910%,109.240104%,109.123338%,109.551063%,108.976360%,117.613387%,117.670342%,117.819305%,129.615219%,128.405249%,131.753851%,130.441323%,135.305871%,130.795816%,125.891475%,130.885414%,136.519273%,133.323289%,134.118971%,144.003784%,123.494252%,142.625064%,132.025889%,135.902347%,130.493606%,136.754482%,154.440705%,152.166495%,157.710768%,139.460478%,147.603228%,159.619873%,154.969543%,157.269099%,157.090839%,153.209478%,150.013785%,154.618576%,162.400227%,155.327344%,157.900397%,165.115636%,165.999986%,162.806229%,170.760763%
72,5.133258%,10.174431%,16.026340%,22.527334%,26.481206%,31.989022%,35.672853%,44.529134%,46.816105%,51.841481%,61.418038%,59.581520%,67.436753%,70.559978%,81.594974%,82.918337%,84.712798%,91.389586%,89.504633%,106.094200%,105.644805%,103.544533%,114.313881%,125.370911%,116.429554%,124.861650%,130.519688%,128.292157%,139.450575%,141.701774%,146.713912%,149.136998%,150.044624%,151.273283%,159.160303%,171.563581%,163.215292%,177.049956%,165.100445%,171.665825%,173.896716%,180.722166%,176.067589%,191.496325%,190.791390%,197.736969%,188.976213%,190.687369%,195.827801%,202.075838%,208.747465%,210.488866%,205.375655%,207.612422%,217.129722%,213.851520%,215.980107%,208.819903%,223.730554%,223.337419%,216.446310%,225.257232%,219.916777%,217.763427%,225.733226%,229.304550%,230.770783%,246.014794%,240.298105%,229.724691%,223.009360%,241.699273%,243.718728%,232.952005%,232.947593%,238.056816%,238.958275%,251.716164%,237.670615%,254.974436%
96,6.833143%,12.288522%,22.548030%,28.531227%,33.740667%,43.747389%,51.606710%,57.842827%,60.470159%,71.973418%,77.971252%,88.013308%,93.504268%,97.320947%,111.607089%,112.505901%,108.357315%,125.577830%,132.834400%,127.265703%,140.626303%,151.394458%,161.920051%,165.165175%,170.082339%,158.017110%,179.144322%,183.964292%,184.638629%,188.110041%,179.382300%,192.343175%,204.531836%,204.452831%,223.844242%,225.953771%,218.094009%,223.541718%,231.378576%,236.422039%,229.113819%,248.656014%,226.873567%,225.853574%,241.067225%,246.651915%,245.444578%,266.837373%,242.448744%,259.818026%,276.107945%,264.689910%,267.598568%,276.019852%,281.555420%,297.328302%,293.424861%,289.089537%,276.468531%,315.745656%,289.741081%,296.724778%,290.396092%,310.741113%,325.396153%,305.264921%,303.801952%,326.214083%,306.770743%,327.292486%,336.943055%,331.383394%,324.767944%,327.669373%,337.791031%,328.648186%,343.288667%,327.739161%,331.723726%,358.849945%
120,9.194830%,18.866441%,27.117894%,35.539904%,41.772458%,53.292932%,64.186983%,73.740683%,70.249542%,82.286890%,87.435630%,94.560368%,105.988105%,119.100235%,129.710010%,120.406077%,128.299491%,135.870019%,138.527678%,134.197931%,159.296205%,162.195398%,170.131943%,182.222167%,176.018570%,189.527306%,188.138714%,188.918188%,203.394846%,196.633589%,216.691469%,223.672966%,231.684162%,242.671054%,223.182872%,200.443618%,251.157414%,232.279754%,234.948236%,246.731629%,254.848829%,262.574576%,263.637097%,253.915965%,264.400089%,265.123316%,269.021499%,275.681248%,270.276094%,287.310527%,282.573447%,288.062875%,304.371413%,284.109962%,269.410951%,277.893545%,282.219877%,289.924121%,266.827702%,295.066095%,301.196221%,324.936058%,304.357494%,317.202894%,325.277312%,319.207322%,313.167572%,315.649186%,315.699547%,324.288034%,316.773520%,331.953197%,323.603319%,329.462398%,319.261619%,165.972886%,327.035782%,363.197844%,333.457270%,325.443293%
144,8.308406%,21.328717%,33.033521%,41.331548%,53.582797%,67.567716%,74.167240%,81.984130%,91.089546%,101.501822%,116.946220%,119.445026%,133.647387%,127.936413%,149.017706%,158.570781%,163.808652%,169.866094%,173.735572%,183.619400%,195.453299%,189.069512%,197.643031%,203.306451%,217.098382%,220.596704%,234.246303%,230.384778%,230.811581%,236.411350%,235.959023%,270.488510%,253.848485%,266.613913%,256.913982%,284.477370%,262.818887%,273.817985%,277.911243%,280.937281%,293.628058%,273.169864%,313.555329%,311.757685%,308.476407%,306.603789%,333.226656%,307.981932%,324.663121%,334.390277%,346.115356%,344.702654%,337.851410%,345.886437%,345.971093%,360.941126%,348.797116%,367.167027%,357.850975%,365.087697%,381.673720%,375.917644%,374.803555%,375.200379%,380.055101%,388.698988%,373.556336%,388.402008%,385.865717%,391.298058%,388.808308%,392.535257%,382.373059%,391.504048%,401.663136%,419.019234%,385.274031%,413.292908%,405.112200%,407.802272%
168,12.299076%,25.554519%,39.656960%,48.904738%,61.195184%,73.621606%,89.218009%,98.043652%,111.873430%,119.243747%,134.476407%,137.691031%,136.415207%,159.111425%,167.697707%,191.624984%,181.385878%,199.991113%,210.750669%,220.493013%,221.545417%,214.567951%,248.007907%,217.118640%,259.666616%,260.453468%,275.989658%,280.146170%,275.576692%,278.788167%,288.695922%,295.029380%,310.411075%,322.964608%,310.732201%,314.400010%,321.180141%,309.202727%,303.907006%,338.303370%,352.789923%,370.142931%,355.086820%,373.160329%,365.085390%,381.743181%,354.803650%,383.142348%,391.485883%,392.277046%,395.254085%,387.994128%,396.305362%,394.202599%,431.038944%,410.075213%,385.907899%,411.792984%,427.301094%,425.923273%,424.310353%,458.090616%,435.296231%,447.782814%,448.439672%,455.770250%,428.305155%,458.345349%,436.975216%,447.397345%,438.098938%,440.921149%,444.403804%,472.546895%,425.993754%,443.652497%,450.370171%,421.657871%,249.287568%,471.611655%
192,14.881918%,30.165983%,42.203213%,55.609516%,71.227102%,72.615923%,97.144429%,96.236456%,122.225415%,137.804735%,145.019307%,158.507031%,155.778654%,177.120130%,195.885782%,207.048634%,218.331068%,224.450313%,232.279593%,245.373537%,236.175763%,252.933895%,262.971117%,270.656198%,288.391266%,299.427832%,301.117018%,304.314716%,322.900772%,336.182274%,335.048325%,350.602071%,351.968531%,349.069471%,348.818961%,325.715933%,360.373757%,366.278133%,378.324376%,395.251704%,395.259937%,394.806355%,403.069032%,406.862769%,422.144734%,425.780909%,429.562149%,422.154252%,424.559364%,418.543008%,438.334855%,459.072574%,484.128185%,460.949488%,477.288978%,465.684175%,448.984328%,467.063737%,476.901906%,490.464357%,465.976107%,487.380723%,536.083145%,496.238609%,489.472049%,497.312027%,474.930466%,493.277956%,502.145694%,499.141462%,498.228542%,522.131712%,498.906828%,503.330584%,451.790064%,514.716796%,538.503676%,526.476559%,534.420137%,514.930140%
216,15.743951%,32.670888%,51.328734%,60.180064%,72.998444%,89.579803%,105.368837%,110.428070%,126.530965%,138.641784%,163.630553%,170.331086%,191.265996%,176.954238%,193.772480%,210.212884%,218.269461%,246.983820%,240.591476%,252.245052%,253.779541%,270.751754%,276.598095%,305.434841%,280.532687%,298.369908%,304.922742%,327.250730%,323.556591%,337.537220%,329.386229%,333.893889%,350.162592%,347.055336%,347.648644%,358.856767%,373.469124%,381.865545%,407.095109%,394.530259%,393.924988%,412.349725%,359.010503%,405.851138%,416.736030%,373.506410%,400.743351%,411.803402%,420.768591%,422.572797%,432.076381%,418.516305%,447.379187%,458.072208%,425.271647%,435.497713%,435.515041%,473.731649%,476.008471%,442.380033%,461.574967%,464.859649%,463.058944%,439.116779%,472.945980%,488.676266%,471.000560%,474.807160%,475.816967%,482.024695%,502.289592%,496.562376%,495.468788%,480.987727%,470.552034%,489.869569%,494.879180%,514.429249%,496.269558%,515.647730%
240,16.975133%,30.588561%,52.528744%,67.403490%,84.678300%,96.223971%,119.035691%,136.964467%,145.401917%,158.170820%,178.867848%,178.645418%,195.195386%,206.225410%,232.692251%,231.557753%,246.681486%,266.976311%,277.486326%,272.610498%,284.133001%,293.226301%,264.406696%,312.956708%,327.509101%,324.540709%,326.789712%,348.218526%,347.943731%,370.305486%,360.636157%,354.495326%,381.533760%,400.375045%,399.154025%,405.644366%,419.400366%,420.560091%,399.855287%,433.535801%,429.282644%,438.238243%,442.103297%,453.689246%,443.200082%,451.453538%,456.421462%,454.140456%,459.856637%,476.976120%,486.228311%,465.317065%,446.790995%,501.889559%,486.155250%,481.823643%,502.668590%,517.308807%,481.739672%,509.079440%,496.864898%,507.515311%,512.484827%,518.247856%,513.722948%,517.409807%,540.176379%,522.307378%,534.444069%,536.931788%,545.931433%,524.288746%,525.667721%,522.760387%,529.177088%,532.804740%,548.029119%,557.019559%,552.414983%,525.309931%
264,21.093923%,37.495257%,54.943036%,77.371627%,87.358687%,109.689534%,135.486277%,142.856916%,159.737888%,172.015687%,185.627122%,206.350337%,217.333292%,226.929235%,252.705133%,267.688693%,268.927075%,245.429092%,297.742474%,300.675880%,314.531721%,329.921503%,327.527827%,336.454321%,354.482560%,340.946556%,380.416464%,376.538307%,374.853974%,406.880395%,427.603661%,432.543137%,447.897048%,434.513502%,452.713710%,448.907025%,450.347728%,446.682016%,452.412183%,478.174413%,455.624919%,460.156677%,474.422031%,494.059055%,498.761820%,496.263574%,487.314130%,498.318882%,502.753471%,500.744181%,469.854754%,544.589188%,526.662848%,515.112499%,534.724618%,540.427264%,532.748442%,540.275550%,528.767525%,528.894300%,545.768223%,598.217258%,555.635276%,565.908550%,580.032851%,562.001206%,571.284240%,573.146337%,570.062506%,573.392739%,570.546930%,605.483491%,583.493449%,590.933270%,578.110102%,320.110644%,599.189500%,588.148296%,585.469455%,576.039807%
288,20.360293%,45.354972%,64.035130%,89.128678%,107.169084%,122.593880%,138.882206%,147.679439%,174.565659%,197.496153%,212.522064%,227.432831%,233.923244%,258.581972%,281.987642%,293.898637%,288.171897%,298.319874%,312.961372%,331.569084%,215.204153%,353.344673%,365.607839%,378.065326%,384.417093%,391.820716%,416.465685%,400.628777%,419.725351%,440.103754%,420.679089%,457.555822%,441.195543%,475.732401%,470.924197%,459.766802%,496.425218%,502.811740%,496.810480%,517.747901%,502.263206%,525.791240%,547.561426%,540.208861%,530.266706%,554.709989%,540.939124%,534.848525%,543.481734%,574.845459%,603.566766%,607.614196%,578.060876%,591.216468%,601.985955%,616.701066%,604.222039%,601.980180%,620.132901%,610.052360%,625.430127%,655.383866%,600.522994%,615.067765%,625.821401%,640.427558%,612.347721%,609.730036%,607.773798%,635.796678%,679.120327%,641.122335%,660.942256%,650.340853%,681.698655%,664.670991%,621.992618%,642.464726%,662.102682%,648.390665%
312,22.840149%,47.793488%,64.968242%,84.899854%,115.461943%,134.684207%,140.597582%,172.299555%,176.315805%,196.354636%,213.571465%,237.242860%,235.218642%,246.097180%,266.852099%,280.203350%,305.072088%,283.278689%,326.408127%,337.561730%,339.276959%,357.562562%,342.359521%,386.416341%,410.962795%,394.400714%,418.213206%,405.159129%,418.694292%,413.130322%,401.414075%,436.972997%,441.003271%,444.987296%,455.527593%,454.169848%,465.996491%,483.500546%,487.805520%,495.126962%,525.168291%,513.422098%,518.048064%,524.379450%,532.025374%,551.375892%,538.071826%,537.099503%,541.789791%,533.252292%,524.565439%,554.246245%,557.414445%,550.318050%,559.371318%,549.850970%,588.622467%,573.566053%,575.977425%,603.546987%,596.707217%,589.026969%,577.926156%,606.247573%,582.093860%,601.426570%,596.593699%,596.191345%,630.930954%,618.125873%,594.473979%,604.992878%,357.377977%,585.587280%,599.408037%,613.683580%,591.079351%,592.809120%,579.137677%,604.031680%
336,23.714905%,48.779132%,70.900722%,93.608236%,113.333080%,125.627717%,162.804607%,182.639327%,192.627664%,204.071949%,197.489882%,235.902640%,246.957554%,290.667542%,294.244552%,293.418625%,342.722785%,327.251837%,343.914705%,354.793963%,349.796261%,397.869230%,353.082148%,377.630298%,417.911910%,410.795822%,418.225175%,422.632758%,436.817840%,453.344746%,459.533741%,455.794501%,480.909186%,473.489519%,479.540186%,491.641740%,508.207088%,516.479717%,506.604722%,505.815205%,514.545686%,521.029855%,551.326590%,541.982048%,560.891811%,579.139573%,553.212208%,594.678102%,593.637235%,587.603758%,555.156975%,574.251609%,586.542851%,586.173128%,614.230409%,593.315943%,598.316678%,622.560604%,633.581409%,620.435508%,604.432247%,655.731642%,609.095757%,648.813013%,623.178601%,604.815249%,604.472601%,615.887965%,639.522648%,635.896413%,607.304436%,624.600822%,628.317792%,629.204278%,626.275374%,625.258101%,655.618712%,649.313692%,684.141757%,631.786772%
360,27.609827%,51.715750%,74.915176%,105.469635%,124.662238%,143.308165%,166.270012%,185.940190%,218.424972%,235.898801%,233.306146%,259.469321%,265.196657%,292.997438%,316.622836%,301.828460%,358.959414%,354.099117%,371.929738%,370.266953%,400.646214%,409.219550%,414.023612%,422.496470%,476.256820%,467.088630%,427.182333%,452.965636%,470.025465%,461.796248%,483.363240%,496.768358%,506.605251%,521.771797%,524.014232%,527.703411%,517.060830%,563.346388%,554.068136%,532.906977%,512.512930%,579.469401%,606.507689%,563.277294%,610.590998%,598.179791%,594.336221%,616.891040%,624.359166%,582.831956%,606.579955%,633.194847%,639.072541%,623.676299%,642.378422%,647.658335%,654.505657%,619.615596%,630.682585%,673.016933%,670.088691%,689.511198%,654.787870%,647.475902%,653.383899%,657.699906%,657.785853%,682.681094%,676.979602%,699.900210%,677.854150%,697.791660%,656.997305%,687.829450%,703.558569%,691.749486%,677.076018%,693.620736%,676.832390%,660.864620%
384,27.312433%,52.697035%,84.846497%,106.332244%,126.232093%,160.072950%,174.600106%,209.742718%,218.408681%,242.644924%,273.498601%,296.658577%,285.875604%,311.506860%,340.910983%,348.893758%,366.677359%,367.282890%,381.177220%,420.898674%,390.896976%,441.316263%,432.295349%,466.319511%,475.184120%,483.427791%,500.682678%,466.035040%,512.926547%,512.712278%,531.618806%,524.782170%,525.444445%,560.362700%,551.266234%,567.124283%,576.969494%,527.787323%,599.338546%,598.393534%,623.124888%,601.937388%,587.729714%,614.692328%,617.651765%,621.560444%,598.801694%,623.626258%,657.637484%,652.438987%,641.830383%,663.382161%,658.643774%,679.995829%,677.323338%,685.362562%,696.884018%,692.748176%,699.640526%,692.636788%,711.035730%,714.115588%,713.657923%,732.574070%,696.014682%,689.792050%,729.654350%,698.018949%,691.813844%,706.596308%,706.188319%,719.344201%,729.586609%,714.555868%,733.034557%,722.089982%,734.269068%,699.586035%,740.042325%,720.178198%
408,28.859608%,61.130178%,86.613620%,101.676403%,121.083632%,153.878036%,162.863512%,195.384936%,211.853284%,235.800455%,232.576142%,253.211570%,312.204167%,314.401106%,336.975122%,347.837091%,333.128335%,344.257900%,365.268269%,317.597681%,396.098049%,411.520871%,445.441441%,427.359292%,449.199296%,447.165106%,468.672628%,445.227965%,488.188200%,501.048488%,529.087415%,523.704408%,478.802061%,530.545376%,546.874509%,542.778748%,566.003547%,554.235737%,565.366599%,582.762997%,601.223628%,596.355486%,591.394044%,582.287026%,603.919743%,598.812796%,625.363825%,641.121078%,621.511343%,633.739646%,637.232473%,649.072824%,644.188236%,645.335618%,665.027128%,666.657852%,659.929262%,667.834038%,653.508198%,676.510276%,669.275984%,670.668030%,677.578257%,650.023561%,682.932698%,670.732569%,680.782180%,689.728093%,698.637045%,665.591722%,694.196866%,717.257818%,693.761256%,692.628974%,667.537219%,683.689261%,687.109403%,430.558933%,686.217032%,662.493207%
