Q/L/F,Performance(Q),Performance(L),Performance(F)
24,47.816951%,10.425221%,46.451320%
26,,11.178288%,
28,,11.931951%,
30,39.634107%,12.655360%,
32,,13.257809%,45.432236%
34,,14.210612%,
36,44.825993%,14.898639%,
38,,16.008425%,
40,,16.528859%,43.975865%
42,49.267991%,17.415530%,
44,,18.204665%,
46,,18.416042%,
48,49.568874%,19.365133%,50.883041%
50,,19.811098%,
52,,20.814879%,
54,46.539187%,21.195221%,
56,,21.812262%,47.288560%
58,,22.149789%,
60,47.032886%,22.985668%,
62,,22.636612%,
64,,23.192837%,48.475883%
66,46.404197%,23.878994%,
68,,24.728502%,
70,,25.024875%,
72,46.814104%,26.045486%,48.210292%
74,,26.179939%,
76,,26.827444%,
78,49.889131%,27.849081%,
80,,28.633445%,51.012847%
82,,28.712604%,
84,47.490117%,29.745721%,
86,,29.836527%,
88,,30.480005%,48.014408%
90,47.768126%,30.812437%,
92,,31.627432%,
94,,31.891011%,
96,47.832539%,32.254085%,49.117372%
98,,32.841565%,
100,,33.427457%,
102,48.039297%,32.741807%,
104,,33.213884%,49.031759%
106,,33.798642%,
108,46.891417%,34.305603%,
110,,34.544730%,
112,,35.048131%,48.112428%
114,46.668825%,35.318250%,
116,,36.051304%,
118,,36.699611%,
120,47.635108%,37.425305%,49.123508%
122,,37.613847%,
124,,37.622296%,
126,48.693814%,38.103563%,
128,,38.627958%,49.413024%
130,,38.939689%,
132,48.169174%,39.750851%,
134,,39.589266%,
136,,40.500792%,48.162404%
138,47.217953%,40.176614%,
140,,40.623061%,
142,,40.426147%,
144,46.988493%,41.043112%,48.563411%
146,,39.910304%,
148,,41.504721%,
150,47.254995%,41.489181%,
152,,42.078855%,47.984265%
154,,42.568883%,
156,47.354847%,42.871865%,
158,,43.899249%,
160,,41.100358%,50.089577%
162,47.525978%,44.518872%,
164,,44.692238%,
166,,44.737223%,
168,47.516351%,45.128948%,46.897695%
170,,45.360621%,
172,,45.688553%,
174,48.435291%,46.215979%,
176,,46.397706%,48.695502%
178,,46.276728%,
180,48.421545%,47.334117%,
182,,45.449070%,
184,,46.694605%,48.794106%
186,48.773767%,46.804066%,
188,,47.384653%,
190,,46.632584%,
192,47.926636%,47.783133%,47.936919%
194,,47.479470%,
196,,48.120762%,
198,48.598857%,49.063507%,
200,,49.330022%,48.929196%
202,,48.498945%,
204,48.994756%,49.836341%,
206,,49.215493%,
208,,50.165340%,48.309227%
210,48.057712%,49.884475%,
212,,50.519888%,
214,,51.202393%,
216,48.316448%,51.727331%,48.098640%
218,,51.312393%,
220,,50.445496%,
222,48.008211%,50.957950%,
224,,51.787581%,48.047827%
226,,50.914675%,
228,48.723642%,51.953092%,
230,,52.167364%,
